date,sst
1940-01-01,296.185200381064
1940-01-02,296.21947325724136
1940-01-03,296.2537461334187
1940-01-04,296.2860790354728
1940-01-05,296.31582530536264
1940-01-06,296.3429849430881
1940-01-07,296.36561797452595
1940-01-08,296.3843710577173
1940-01-09,296.39795087658007
1940-01-10,296.405064115032
1940-01-11,296.40635743111415
1940-01-12,296.3998908507033
1940-01-13,296.3863110318406
1940-01-14,296.36432465844376
1940-01-15,296.3313450983486
1940-01-16,296.29189895784253
1940-01-17,296.2524528173365
1940-01-18,296.2162399670359
1940-01-19,296.18196709085856
1940-01-20,296.1489875307633
1940-01-21,296.1179479447914
1940-01-22,296.0901416490249
1940-01-23,296.06427532738155
1940-01-24,296.0403489798615
1940-01-25,296.0170692903825
1940-01-26,295.9976695491501
1940-01-27,295.9795631239998
1940-01-28,295.9640433310138
1940-01-29,295.94981685411
1940-01-30,295.9388236674116
1940-01-31,295.92847713875426
1940-02-01,295.9200705842202
1940-02-02,295.9136040038094
1940-02-03,295.910370713604
1940-02-04,295.9077840814396
1940-02-05,295.9058441073164
1940-02-06,295.9077840814396
1940-02-07,295.9116640296861
1940-02-08,295.9168372940148
1940-02-09,295.92330387442564
1940-02-10,295.93235708700075
1940-02-11,295.9427036156581
1940-02-12,295.95563677647976
1940-02-13,295.96986325338355
1940-02-14,295.9860297044106
1940-02-15,296.00348947151986
1940-02-16,296.0222425547112
1940-02-17,296.0384090057383
1940-02-18,296.0545754567653
1940-02-19,296.0713885658335
1940-02-20,296.0856150427373
1940-02-21,296.0998415196411
1940-02-22,296.1140679965449
1940-02-23,296.12764781540767
1940-02-24,296.14252095035255
1940-02-25,296.15674742725633
1940-02-26,296.1729138782834
1940-02-27,296.18908032931046
1940-02-28,296.2046001222964
1940-02-29,296.19748688384453
1940-03-01,296.2175332831181
1940-03-02,296.23757968239164
1940-03-03,296.2602127138295
1940-03-04,296.28413906134955
1940-03-05,296.3119453571161
1940-03-06,296.3410449689648
1940-03-07,296.37273121297784
1940-03-08,296.40829740523736
1940-03-09,296.44580357162016
1940-03-10,296.48783634429054
1940-03-11,296.5324557491252
1940-03-12,296.5809551022064
1940-03-13,296.6339810615751
1940-03-14,296.6908869691904
1940-03-15,296.75167282505214
1940-03-16,296.8176319452425
1940-03-17,296.88553103955616
1940-03-18,296.9482568695411
1940-03-19,297.0045161191153
1940-03-20,297.0549554463197
1940-03-21,297.1002215091955
1940-03-22,297.1416076238248
1940-03-23,297.1778204741254
1940-03-24,297.2101533761795
1940-03-25,297.2392529880282
1940-03-26,297.2664126257537
1940-03-27,297.2903389732737
1940-03-28,297.3129720047116
1940-03-29,297.3336650620262
1940-03-30,297.3537114612998
1940-03-31,297.37375786057333
1940-04-01,297.3931576018058
1940-04-02,297.4132040010793
1940-04-03,297.4345437164351
1940-04-04,297.45653008983186
1940-04-05,297.47980977931087
1940-04-06,297.5069694170363
1940-04-07,297.53477571280285
1940-04-08,297.5664619568159
1940-04-09,297.6020281490754
1940-04-10,297.6414742895814
1940-04-11,297.68480037833393
1940-04-12,297.732653073374
1940-04-13,297.7856790327428
1940-04-14,297.84452491448127
1940-04-15,297.9091907185895
1940-04-16,297.98161641919074
1940-04-17,298.0643886484493
1940-04-18,298.1588007224473
1940-04-19,298.2622660090205
1940-04-20,298.37413785012774
1940-04-21,298.493769587728
1940-04-22,298.6211612218212
1940-04-23,298.75437277828416
1940-04-24,298.89081762495255
1940-04-25,299.0317890779085
1940-04-26,299.176640479111
1940-04-27,299.32213853835447
1940-04-28,299.4682832556391
1940-04-29,299.61636794704697
1940-04-30,299.76186600629046
1940-05-01,299.90542409141074
1940-05-02,300.04833551849
1940-05-03,300.1860736812405
1940-05-04,300.3186385796624
1940-05-05,300.4466768717967
1940-05-06,300.5676019254791
1940-05-07,300.6814137407096
1940-05-08,300.7874656594471
1940-05-09,300.8831710495273
1940-05-10,300.9704698850734
1940-05-11,301.0467755339211
1940-05-12,301.1114413380293
1940-05-13,301.16252732327484
1940-05-14,301.20068014769873
1940-05-15,301.2258998113009
1940-05-16,301.2381863140815
1940-05-17,301.25047281686204
1940-05-18,301.2634059776837
1940-05-19,301.27763245458755
1940-05-20,301.2937989056146
1940-05-21,301.3112586727238
1940-05-22,301.3300117559152
1940-05-23,301.3500581551887
1940-05-24,301.37075121250336
1940-05-25,301.3933842439413
1940-05-26,301.41666393342024
1940-05-27,301.4418835970224
1940-05-28,301.4683965767068
1940-05-29,301.49555621443227
1940-05-30,301.5233625101988
1940-05-31,301.5537554381297
1940-06-01,301.58414836606056
1940-06-02,301.6158346100736
1940-06-03,301.6481675121277
1940-06-04,301.68308704634615
1940-06-05,301.71800658056463
1940-06-06,301.7542194308652
1940-06-07,301.7897856231248
1940-06-08,301.8279384475486
1940-06-09,301.86609127197244
1940-06-10,301.9055374124785
1940-06-11,301.9456302110256
1940-06-12,301.98636966761376
1940-06-13,302.02775578224305
1940-06-14,302.06914189687234
1940-06-15,302.10923469541945
1940-06-16,302.1357476751038
1940-06-17,302.1493274939665
1940-06-18,302.14997415200764
1940-06-19,302.1389809653092
1940-06-20,302.1176412499535
1940-06-21,302.0859550059405
1940-06-22,302.0465088654344
1940-06-23,301.9986561703943
1940-06-24,301.94433689494343
1940-06-25,301.88549101320496
1940-06-26,301.8201785510556
1940-06-27,301.7509861406598
1940-06-28,301.67920709809965
1940-06-29,301.6054880814163
1940-06-30,301.52982909060967
1940-07-01,301.45352344176194
1940-07-02,301.37980442507853
1940-07-03,301.3073787244773
1940-07-04,301.23689299799935
