date,slhf,mslp,snsr,sntr,sshf,w10u,w10v,z500,z500windu,z500windv,z850,z850windu,z850windv,sst
1981-09-01,-721748.8110417651,100747.00891237528,991086.930859262,-153485.21148123848,48475.61587291909,30.354001520325177,2.045151866557584,57516.27482897452,0.9054320641298012,3.4721186816016565,14711.650826623132,27.21016271265005,5.873997302693708,28.14
1981-09-02,-675239.1684037051,100798.82098546725,915629.1758961136,-152756.94156379235,38119.29458440794,30.120394100072616,0.8584285208290962,57506.4638534927,-2.5077215193567035,2.8982373412342706,14763.083117296344,26.035732973224576,1.046803238077795,28.2675
1981-09-03,-737612.5651198633,100762.60835058766,961539.8204873882,-160097.90233164973,32417.499717699364,30.214389985144653,1.188709355604133,57409.08992183566,-0.4975764375431986,1.659861817283596,14721.735589500233,25.36433331688045,2.819877274667662,27.91
1981-09-04,-707086.8565150383,100770.66530996312,1014671.6198556452,-181887.7382616392,32882.952359879855,29.889551264675116,0.6110753415387005,57427.73077525111,0.6985053645313517,3.2792759639883244,14714.071169713636,24.77607912881425,1.6917589188873592,27.717497
1981-09-05,-708529.0159766835,100890.58781131735,997513.0961195125,-177022.8952130988,27413.883814261528,29.42924788630764,0.1406753647378902,57532.46293851952,-0.8454861632416897,4.027412772078601,14817.742532090226,24.133780386367395,2.8819348659483075,28.705
1981-09-06,-634858.7034776371,101043.24777712184,1003608.0157477912,-184713.4255413304,36024.75769459666,28.1395690514222,-2.1055202691650665,57641.11949198066,-3.67424236434576,1.957257815530662,14950.861402067943,21.71632589618717,1.4656919792221512,29.1575
1981-09-07,-511674.249462103,101080.47966589828,1044881.2214914624,-201667.5492194772,42773.82100621052,27.816112623380185,-5.614217968463512,57640.62894320657,-3.9380170583393888,-1.9948561924244927,14974.863137715443,19.964035152230228,-1.4798272640627657,28.8575
1981-09-08,-483792.4998702945,101059.34228151276,1027457.7012497522,-193540.056940778,41377.46307966975,27.791231359684648,-6.972515773815396,57556.00927967588,-4.076726164663624,-3.031095373816614,14954.895307218789,20.951387588030403,-2.2932249783483667,28.794998
1981-09-09,-495930.6753391421,101031.51179653764,881643.3740558194,-174517.64669708395,34279.31028642063,27.618444806243403,-6.828107270299037,57566.80135270589,-3.671968444569954,3.342007932368565,14918.590160861226,20.84745575268301,-2.9714257973439917,28.8025
1981-09-10,-500617.6935894892,100980.41805476342,1020501.5429783468,-177780.29592724278,35675.668212961406,27.20928624769454,-7.901877430108789,57616.83732766316,-8.040168333895453,2.519522124716522,14885.310443366796,19.402803241354334,-3.051214128990535,28.772501
1981-09-11,-564313.0698121558,100935.70678381978,925434.0466024752,-172245.4445546519,26133.88904826576,26.75865891631977,-7.884719984146449,57583.23473663793,-8.06518145142933,0.4191628870966157,14841.945962995263,18.07455438561473,-3.552107544327173,28.285
1981-09-12,-582219.8831275846,100991.08139196092,955246.1534799264,-172332.83694474545,32650.22603878961,26.77524642545013,-8.535273143551825,57599.913394957024,-6.464341929261112,0.6445332920182207,14894.991815728812,17.426019733047035,-3.009103620621526,28.442497
1981-09-13,-586306.0016022462,100990.15920986376,999500.5699113423,-179469.8821357179,44635.63157493179,27.336457151027293,-10.106609236269426,57640.62894320657,-6.898660606440275,1.859674753605844,14900.84097819753,18.50275354724597,-5.710825183875336,28.732498
1981-09-14,-578975.0243388826,100936.31833615794,977638.3582012118,-177925.94991073204,35093.85241023614,27.75529175656887,-11.895272977843328,57580.78199276748,-7.912828826450253,-2.0668817857499544,14853.845983190244,20.09083199135404,-7.698884447401724,28.9025
1981-09-15,-519365.7665908779,100885.03045078435,965779.7645766255,-179207.7049654373,36722.93665786693,27.62535626838105,-8.713996538992863,57478.74784775657,-8.426734695782665,-3.807113056742554,14781.235690475123,18.716853128061583,-4.857533303766463,28.204998
1981-09-16,-472014.864266858,100878.15776736528,898603.1504127693,-180198.15205316409,27995.699616986796,28.246005568342,-7.159817892237602,57458.880622405886,-3.6469553270360766,4.118025615294504,14744.325458344936,19.50049916658088,-2.683301266398138,28.242498
1981-09-17,-483071.42013947177,100770.34011943411,773458.550653869,-154359.13538217393,22992.08371354896,28.07321901490076,-7.7789157340453565,57476.04982949907,-5.597978494678594,3.6301103056704105,14646.90664895215,19.700048290447864,-2.6744358962151886,27.9625
1981-09-18,-497613.19471106166,100622.6793513144,756498.7742969191,-141978.54678558896,15428.47827811935,27.494038487765707,-7.726013608994809,57394.37345861293,-4.490579563860523,1.1138613517518725,14500.6775872342,19.377859600870963,-3.851313788001713,26.927498
1981-09-19,-524894.0445271849,100548.0893804219,708203.1611554485,-142386.37793935882,14613.93615430384,27.0876445140719,-8.458064636721296,57373.27986132702,-5.243247009652682,0.8304057909226374,14440.975791001763,18.5609553750405,-3.5232950912325878,26.8875
1981-09-20,-480788.0009918667,100563.4315783651,653415.133627333,-139094.59791250213,21130.27314482769,27.496803072620768,-9.255885873970088,57419.88199486565,-2.9329445174326363,-0.9377063549056244,14458.72497366546,19.36330914392233,-5.865969162076949,27.725
1981-09-21,-453747.5110860178,100510.65364086605,844676.3615277801,-159398.7632109014,28577.51541971229,30.03469196956576,-8.453775275230711,57349.9787945577,-1.730040956030663,-2.1179967229486687,14410.519807112923,23.8552430676364,-6.5375209534353615,27.984999
1981-09-22,-502420.392916546,100494.23879953612,908010.5263607648,-158437.44691987248,37537.47878168244,31.09767484633629,-6.526422178794566,57328.14937411065,1.52393824314934,-1.3071279464781522,14405.07403515929,26.34129256914589,-3.751578373443533,28.485
