date,mslp,slhf,sshf,ssr,str,z500,z850,w10,wz500,wz850,sst
1981-09-01,100495.35,-390763.94,-10288.986,475535.47,-99003.13,57289.38,14412.938,7.05023,0.2597118,8.955746,29.215
1981-09-02,100557.85,-295637.9,2567.634,518643.8,-130365.69,57415.934,14489.881,6.6117864,1.7084751,7.492222,28.744999
1981-09-03,100530.66,-233687.6,3656.619,747697.0,-110691.914,57303.93,14466.438,6.2094874,3.6369774,9.426054,28.785
1981-09-04,100583.39,-271637.94,-15753.71,242785.08,-101159.83,57254.9,14453.562,5.2601447,3.0524802,8.910675,28.8275
1981-09-05,100783.125,-323744.47,-25554.572,285838.9,-114755.03,57403.75,14608.611,4.8826222,3.391742,7.6960196,28.795
1981-09-06,100999.97,-288551.9,-17920.68,477061.78,-126850.21,57610.29,14789.833,4.8230896,3.2460332,6.5626388,28.607498
1981-09-07,101081.19,-241742.45,-17713.883,741501.75,-146196.89,57687.785,14861.179,3.5901856,3.837386,3.5484397,28.517498
1981-09-08,101052.09,-231088.11,-16756.895,780472.0,-163586.75,57620.09,14828.197,3.5709536,6.0290527,1.6273464,28.4125
1981-09-09,101022.38,-245522.92,-18360.674,879783.06,-165729.4,57633.004,14797.722,3.7163475,6.924942,0.85500216,28.6425
1981-09-10,101029.195,-225518.73,-12176.56,910733.2,-176968.86,57707.38,14814.125,2.8130856,4.376554,2.0187087,28.765001
1981-09-11,101003.27,-197244.36,-6100.2446,922393.7,-184918.31,57674.633,14801.394,2.3118696,4.394184,2.1290338,29.1025
1981-09-12,101065.79,-174675.52,-5820.8486,932354.9,-198999.22,57722.645,14865.8955,1.6190318,5.8250484,1.1353691,29.33
1981-09-13,101138.12,-226975.19,-12563.754,893830.2,-183672.7,57764.117,14923.359,3.3725717,7.9451466,4.499903,28.679998
1981-09-14,101197.86,-476837.72,-57854.52,795370.0,-160754.39,57738.188,14919.187,7.568835,6.81097,8.37132,28.119999
1981-09-15,101265.12,-823384.06,-91406.25,625960.8,-156170.89,57665.867,14927.726,10.97229,9.279624,13.038435,28.1225
1981-09-16,101193.59,-764372.0,-131824.08,633608.9,-146797.39,57598.062,14849.298,10.203229,10.030909,12.726489,28.332499
1981-09-17,101019.39,-615195.4,-102914.29,347267.5,-141357.33,57533.246,14720.327,8.108678,5.802758,9.275835,28.275
1981-09-18,100854.62,-516906.28,-79607.82,392091.75,-140920.38,57421.984,14609.942,6.95323,3.52659,8.432333,28.325
1981-09-19,100801.17,-504260.38,-23114.807,645809.75,-172771.1,57430.95,14600.645,7.148925,3.9179943,8.516082,28.154999
1981-09-20,100656.805,-368495.88,-12689.152,864861.4,-200847.81,57440.45,14499.051,3.9749036,5.5558434,8.61636,28.119999
1981-09-21,100328.95,-371383.47,6817.9746,858085.5,-191511.48,57197.426,14239.892,5.0899963,9.103373,8.891248,28.265001
1981-09-22,100290.24,-314584.6,-967.7164,933639.44,-200742.9,57130.25,14186.601,3.4626055,4.9207964,5.458381,28.2325
1981-09-23,100402.71,-177775.25,-7891.0195,916333.56,-188406.53,57166.902,14266.063,1.151394,1.3348013,1.6389205,27.949999
1981-09-24,100671.71,-233861.72,-7347.627,877185.5,-178730.72,57420.67,14503.341,2.9332616,5.5835285,2.7670476,28.39
1981-09-25,100949.484,-236182.56,-11072.175,768339.9,-141933.88,57779.688,14755.675,4.7554836,5.8602624,5.359719,28.535
1981-09-26,100938.95,-214582.6,-8883.206,802930.4,-163400.9,57741.582,14752.513,5.0971766,10.18486,7.5953336,28.329998
1981-09-27,100708.28,-389595.6,-27173.75,796540.75,-128750.02,57485.754,14534.287,6.539798,10.692655,8.047602,27.502499
1981-09-28,100733.2,-351775.06,-35296.035,506990.4,-112658.63,57495.902,14539.631,6.1681666,13.181284,8.626623,27.169998
1981-09-29,100672.914,-310889.62,-30079.91,361364.4,-100542.805,57484.17,14501.135,5.441091,9.958675,7.6992164,27.419998
1981-09-30,100545.43,-258403.12,-22967.408,405866.3,-121047.53,57357.81,14408.805,4.657817,9.58978,7.3308573,27.5025
1981-10-01,100570.82,-279072.22,-32587.875,667749.0,-112055.65,57317.594,14416.014,4.068641,3.7459269,3.3152072,27.935
1981-10-02,100636.484,-328481.16,-35516.03,482695.3,-127977.71,57357.04,14454.372,4.5595202,5.0046487,4.752362,28.137499
1981-10-03,100689.57,-302679.6,-40688.16,596515.6,-128054.53,57405.75,14486.311,4.1347466,4.9006248,3.7924824,28.1175
1981-10-04,100595.766,-242363.03,-37328.81,612622.3,-137456.11,57354.633,14403.248,1.9561027,4.626093,2.3908412,28.1475
1981-10-05,100604.41,-642029.1,-81031.195,172167.89,-110264.05,57229.03,14420.293,9.1585245,2.7666447,10.780276,28.16
1981-10-06,100740.44,-514423.97,-57423.33,160379.4,-123247.18,57387.957,14551.817,8.588011,10.750678,12.219918,27.64
1981-10-07,100902.1,-402909.56,-23273.203,693153.3,-141403.58,57524.516,14705.721,7.1841702,6.9881587,9.223038,27.605
1981-10-08,101145.09,-285740.3,-26291.562,730123.25,-148264.38,57630.65,14880.925,2.463047,2.6038737,3.6696498,27.652498
1981-10-09,101384.555,-1378929.6,-256612.94,406411.4,-148762.45,57562.008,14909.525,12.217165,2.1252172,5.0216975,27.897501
1981-10-10,101249.84,-866441.5,-132248.69,462924.6,-129987.375,57480.95,14838.922,10.495921,4.1375165,10.65814,27.894999
1981-10-11,101261.945,-619488.75,-58446.312,592510.3,-151202.47,57617.48,14900.111,9.303275,2.6492763,8.993233,28.1275
1981-10-12,101343.57,-564086.2,-31168.895,690648.2,-170102.28,57782.418,15006.193,9.209236,4.9209466,9.932838,28.295
1981-10-13,101296.73,-769640.56,-22219.42,784328.06,-183494.28,57764.098,14965.843,10.941184,7.8552904,14.084076,28.33
1981-10-14,101214.58,-654101.94,-59007.305,574583.44,-128628.6,57699.844,14885.185,12.007972,8.685548,14.884306,28.2225
1981-10-15,101181.66,-378054.72,-38406.793,556561.8,-131158.66,57715.223,14885.253,8.107364,5.712228,9.351046,28.08
1981-10-16,101160.19,-278068.53,-14563.526,673555.56,-145844.19,57701.8,14890.63,5.9999156,3.793993,6.0400434,27.61
1981-10-17,101081.02,-172915.1,-7752.4214,788454.25,-170201.4,57710.08,14834.687,3.3992324,1.4450903,1.9437833,27.259998
1981-10-18,101012.09,-138957.34,-6799.835,805395.2,-194873.33,57659.016,14781.711,1.3511826,4.09962,2.2775156,27.957499
1981-10-19,100969.85,-165863.9,-10610.182,801873.3,-184369.03,57651.793,14743.337,1.7771026,3.5727785,3.5023363,28.695
1981-10-20,100896.8,-243904.98,-23557.0,587841.4,-145837.58,57567.277,14659.784,3.0284271,2.6520152,3.573617,28.57
1981-10-21,100907.41,-199669.67,-9954.591,646027.75,-160185.27,57555.06,14672.195,2.393904,3.929335,2.238879,28.162498
1981-10-22,101297.8,-690646.44,-99928.93,734664.25,-173523.6,57627.0,14930.898,6.709872,0.69071674,4.3367963,27.9575
1981-10-23,101909.68,-1989254.0,-459034.3,293681.3,-163068.03,57668.48,15139.604,13.268998,2.9024851,4.0306435,27.23
1981-10-24,101923.95,-1284889.6,-223336.2,416538.53,-158376.31,57710.504,15210.23,9.847121,6.45012,2.5743387,26.682499
1981-10-25,101855.57,-1187246.5,-145776.3,522253.34,-188695.64,57730.55,15241.3955,11.5919485,3.216338,5.293858,26.43
1981-10-26,101693.28,-1004232.4,-94363.01,568139.4,-177878.28,57727.15,15167.786,11.277587,2.8567958,8.298273,26.6075
